Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
25/12/2018,1270.75,1274.55,1272.5,1270.65
25/12/2019,1504.05,1504.4,1504.4,1502.15
26/01/2011,1333,1341.7,1339.8,1339.8
26/01/2012,1726.3,1729,1729,1721
26/01/2015,1405.6,1405.6,1405.6,1405.6
26/01/2016,1167.3,1167.3,1167.3,1167.3
26/01/2017,1272.9,1275.1,1275.1,1275.1
26/01/2018,1453.7,1453.7,1453.7,1453.7
26/02/2013,1615.2,1609,1593.3,1589
26/02/2014,1328.2,1344,1341.2,1325.6
26/02/2015,1306.1,1306.1,1306.1,1306.1
26/02/2016,1258.8,1258.8,1258.8,1258.8
26/02/2018,1433.1,1433.1,1433.1,1433.1
26/02/2019,1387.9,1387.9,1387.9,1387.9
26/02/2020,1662.9,1676.7,1656.4,1646.7
26/03/2012,1685.5,1692.9,1665,1657.8
26/03/2013,1595.8,1595.8,1595.8,1595.8
26/03/2014,1303.4,1315.2,1315.2,1311.8
26/03/2015,1297,1297,1297,1297
26/03/2018,1461,1461,1461,1461
26/03/2019,1369.3,1369.3,1369.3,1369.3
26/03/2020,1662,1678,1639.6,1615
26/04/2011,1503,1506.3,1501.5,1495
26/04/2012,1659.6,1658.7,1658.3,1658.3
26/04/2013,1453.6,1480,1467.4,1451.4
26/04/2016,1292.4,1292.4,1292.4,1292.4
26/04/2017,1343,1343,1343,1343
26/04/2018,1418,1418,1418,1418
26/04/2019,1339.2,1339.2,1339.2,1339.2
26/05/2011,1522.8,1521.2,1521.2,1519.5
26/05/2014,1292.5,1294.4,1291.6,1291.4
26/05/2015,1282.2,1288.9,1288.9,1280
26/05/2016,1273.6,1273.6,1273.6,1273.6
26/05/2017,1344.8,1344.8,1344.8,1344.8
26/05/2019,1284.15,1285.15,1284.2,1283.65
26/05/2020,1740.5,1768,1761,1734.8
26/06/2012,1574,1583.5,1583.5,1567.7
26/06/2013,1229.6,1273.9,1273.9,1228.8
26/06/2014,1316.1,1319.6,1319.6,1312.4
26/06/2015,1273.1,1273.1,1273.1,1270
26/06/2017,1317.7,1317.7,1317.7,1317.7
26/06/2018,1350,1350,1350,1350
26/06/2019,1447.8,1445.4,1441.9,1440.5
26/06/2020,1798.5,1804,1792.5,1772
26/07/2011,1616.6,1618.5,1609.8,1609.8
26/07/2012,1615,1614.9,1614.9,1614.1
26/07/2013,1321.7,1326.5,1326.5,1322.4
26/07/2016,1382.6,1382.6,1382.6,1382.6
26/07/2017,1322.4,1322.4,1322.4,1322.4
26/07/2018,1311.5,1311.5,1311.5,1311.5
26/07/2019,1460.4,1460.4,1460.4,1460.4
26/08/2011,1794.1,1829.3,1768.5,1768.5
26/08/2013,1393,1403,1398.6,1391.3
26/08/2014,1439.3,1289.5,1289.4,1281.1
26/08/2015,1209,1209,1209,1209
26/08/2016,1383.2,1383.2,1383.2,1383.2
26/08/2019,1563.1,1584.5,1584.5,1563.2
26/08/2020,1952.5,1963.4,1939,1908.4
26/09/2011,1592.5,1661.8,1646.4,1562.4
26/09/2012,1750.6,1764.2,1762.8,1737.6
26/09/2013,1323.6,1338.3,1335.2,1335.2
26/09/2014,1370.4,1214.1,1214.1,1214.1
26/09/2016,1398.6,1398.6,1398.6,1398.6
26/09/2017,1374.1,1374.1,1374.1,1374.1
26/09/2018,1271.8,1271.8,1271.8,1271.8
26/09/2019,1545,1547,1538.9,1538
26/10/2011,1722.7,1723.6,1717,1708.9
26/10/2012,1710.9,1716.2,1706.1,1706.1
26/10/2015,1220.3,1220.3,1220.3,1220.3
26/10/2016,1324.6,1324.6,1324.6,1324.6
26/10/2017,1346.5,1346.5,1346.5,1346.5
26/10/2018,1309.7,1309.7,1309.7,1309.7
26/10/2020,1905.7,1911.1,1906,1892.5
26/11/2012,1749.5,1750.5,1750.3,1749.4
26/11/2013,1241.4,1243,1243,1243
26/11/2014,1314.5,1201,1200.5,1193.7
